"SYMBOL 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","AVERAGE PRICE 
","TOTAL VOLUME 
","TOTAL TURNOVER 
 (₹ Crores)"
,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ESFL","662.00","4,200","662.00","2,700","660.00","5,700","673.20","50,700","673.20","51,600","673.20","14,100","672.01","1,29,000","8.67"
"SONAMLTD","92.53","7,784","92.53","2,52,605","92.53","68,413","92.53","56,317","92.53","96,196","92.53","55,104","92.53","5,36,419","4.96"
"SSEGL","405.10","28,000","405.10","9,400","404.75","30,200","404.75","13,400","404.75","3,200","404.75","2,200","404.90","86,400","3.50"
"TIRUPATIFL","48.99","1,41,405","48.99","1,78,568","48.94","51,697","48.94","42,781","49.00","46,223","49.18","1,26,069","49.02","5,86,743","2.88"
"APS","489.00","8,500","493.95","11,000","490.00","6,000","484.00","5,500","484.65","14,500","486.05","10,000","487.92","55,500","2.71"
"KRISHNADEF","690.20","4,750","690.20","5,250","690.20","5,500","690.25","6,250","690.20","6,750","690.20","2,250","690.21","30,750","2.12"
"20MICRONS","253.00","14,261","252.70","13,146","252.70","5,837","252.70","7,891","252.70","12,637","252.70","11,004","252.76","64,776","1.64"
"TGL","516.90","12,600","516.90","4,200","516.90","6,000","516.90","1,800","516.90","1,000","516.90","3,000","516.90","28,600","1.48"
"EMKAY","289.95","12,104","287.95","4,651","287.90","5,122","289.00","10,671","289.85","5,376","289.85","5,437","289.23","43,361","1.25"
"INDOTHAI","1,067.90","1,267","1,067.90","2,115","1,067.90","3,021","1,067.90","4,667","1,067.90","127","1,067.90","11","1,067.90","11,208","1.20"
"VINYAS","-","-","812.00","5,000","805.00","7,000","-","-","809.00","200","808.00","1,600","807.94","13,800","1.11"
"UMAEXPORTS","118.00","38,732","118.00","20,842","117.87","8,238","118.00","9,305","117.87","9,034","117.87","33","117.97","86,184","1.02"
"NITCO","117.02","18,963","117.02","5,117","117.02","6,438","117.02","33,029","117.02","3,760","117.02","14,867","117.02","82,174","0.96"
"TAC","743.30","2,400","743.30","400","743.30","1,200","743.30","1,200","743.30","7,200","-","-","743.30","12,400","0.92"
"PARSVNATH","18.70","26,790","18.69","7,244","18.80","29,667","19.07","3,06,310","19.06","1,03,410","19.05","10,494","19.02","4,83,915","0.92"
"ROSSELLIND","94.90","47,553","93.41","21,475","93.41","6,024","93.41","3,283","93.41","13,663","93.41","4,817","94.14","96,815","0.91"
"URBAN","479.35","1,200","485.20","8,800","485.20","1,600","488.00","2,400","490.00","2,000","496.00","1,200","486.49","17,200","0.84"
"FELIX","217.00","3,500","217.00","4,500","215.00","3,000","215.00","5,000","-","-","223.70","17,500","220.02","33,500","0.74"
"FILATFASH","0.94","20,93,571","0.94","11,69,278","0.93","7,48,990","0.93","14,52,032","0.93","7,86,191","0.92","9,39,089","0.93","71,89,151","0.67"
