"SYMBOL ","OPEN ","HIGH ","LOW ","PREV.CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME ","VALUE ","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG  20-Dec-2023"
"NIFTY 50","23,960.70","24,065.80","23,537.35","23,951.70","23,587.50","-","-364.20","-1.52","44,27,14,411","47,084.48","26,277.35","21,137.20","0.29","10.97"
"DRREDDY","1,326.00","1,368.70","1,317.40","1,325.60","1,345.30","-","19.70","1.49","74,99,087","1,014.38","1,421.49","1,094.24","10.73","-75.81"
"JSWSTEEL","926.00","941.70","912.05","925.95","931.45","-","5.50","0.59","2,90,03,345","2,663.32","1,063.00","761.75","-3.16","8.96"
"ICICIBANK","1,283.95","1,297.75","1,272.40","1,286.90","1,292.00","-","5.10","0.40","5,84,91,181","7,532.67","1,362.35","970.15","3.15","28.28"
"NESTLEIND","2,160.00","2,175.00","2,145.40","2,160.40","2,165.00","-","4.60","0.21","16,51,762","357.54","2,778.00","2,145.40","-2.29","-91.39"
"HDFCLIFE","619.70","626.50","618.20","623.55","623.75","-","0.20","0.03","39,96,244","248.95","761.20","511.40","-8.32","-3.17"
"ITC","466.50","467.45","459.30","466.55","465.65","-","-0.90","-0.19","1,94,81,288","903.81","528.50","399.35","-0.58","2.92"
"SBILIFE","1,402.45","1,414.80","1,391.10","1,405.90","1,401.00","-","-4.90","-0.35","15,42,712","216.66","1,936.00","1,307.70","-8.03","-0.22"
"TITAN","3,350.00","3,419.00","3,333.15","3,356.85","3,344.90","-","-11.95","-0.36","12,35,769","416.52","3,886.95","3,055.65","4.08","-6.25"
"ASIANPAINT","2,297.00","2,318.00","2,276.00","2,291.85","2,280.00","-","-11.85","-0.52","17,19,699","394.66","3,422.95","2,265.35","-8.11","-30.90"
"EICHERMOT","4,748.00","4,822.45","4,720.00","4,771.95","4,740.00","-","-31.95","-0.67","3,86,086","183.97","5,105.00","3,562.45","-4.65","19.62"
"APOLLOHOSP","7,324.80","7,389.90","7,210.05","7,297.55","7,244.90","-","-52.65","-0.72","3,49,055","255.09","7,545.00","5,284.85","8.45","32.43"
"SUNPHARMA","1,823.30","1,825.95","1,794.10","1,823.30","1,810.00","-","-13.30","-0.73","25,13,418","454.52","1,960.35","1,208.55","1.78","46.64"
"KOTAKBANK","1,755.00","1,768.85","1,733.35","1,762.10","1,748.70","-","-13.40","-0.76","1,46,85,688","2,562.49","1,942.00","1,543.85","0.91","-5.89"
"HINDALCO","629.35","640.60","620.70","629.35","624.45","-","-4.90","-0.78","59,64,142","374.60","772.65","496.35","-2.71","11.94"
"MARUTI","10,940.00","11,077.00","10,865.95","10,955.35","10,868.90","-","-86.45","-0.79","4,04,608","443.42","13,680.00","9,737.65","-0.53","8.87"
"BHARTIARTL","1,610.00","1,622.30","1,573.40","1,600.30","1,587.00","-","-13.30","-0.83","97,38,879","1,550.18","1,779.00","960.00","3.45","61.38"
"HINDUNILVR","2,352.10","2,373.50","2,324.65","2,359.85","2,340.10","-","-19.75","-0.84","20,69,691","485.58","3,035.00","2,172.05","-3.17","-8.59"
"HCLTECH","1,954.60","1,957.65","1,896.40","1,934.25","1,917.70","-","-16.55","-0.86","37,86,921","725.61","1,980.00","1,235.00","4.99","34.41"
"HDFCBANK","1,782.20","1,797.55","1,767.05","1,793.50","1,777.10","-","-16.40","-0.91","1,28,46,174","2,284.68","1,880.00","1,363.55","1.68","5.03"
"INFY","1,975.15","1,979.95","1,911.25","1,946.20","1,927.80","-","-18.40","-0.95","1,10,56,720","2,136.77","2,006.45","1,358.35","5.34","25.14"
"NTPC","337.80","343.90","331.00","337.40","333.55","-","-3.85","-1.14","2,03,75,797","687.28","448.45","293.20","-9.12","10.37"
"BAJAJFINSV","1,589.55","1,603.60","1,565.00","1,589.55","1,570.00","-","-19.55","-1.23","18,06,341","285.75","2,029.90","1,419.05","-1.67","-5.83"
"BAJFINANCE","6,913.35","7,024.00","6,804.70","6,918.55","6,829.95","-","-88.60","-1.28","27,00,019","1,852.77","7,830.00","6,187.80","3.84","-7.04"
"TATACONSUM","907.00","916.50","882.90","907.10","894.45","-","-12.65","-1.39","24,41,036","219.11","1,256.44","882.90","-3.02","-9.17"
"HEROMOTOCO","4,406.95","4,461.55","4,325.00","4,406.95","4,337.95","-","-69.00","-1.57","8,00,108","350.52","6,246.25","3,752.05","-9.13","12.72"
"ULTRACEMCO","11,664.85","11,748.00","11,397.65","11,670.80","11,460.95","-","-209.85","-1.80","2,99,802","344.08","12,145.35","9,250.00","6.07","14.75"
"ONGC","241.50","244.15","235.30","241.85","237.50","-","-4.35","-1.80","1,55,56,528","372.42","345.00","200.95","-4.40","17.00"
"BAJAJ-AUTO","8,950.00","9,066.75","8,759.40","8,982.65","8,820.00","-","-162.65","-1.81","3,16,335","281.71","12,774.00","6,232.00","-7.95","40.68"
"BRITANNIA","4,790.00","4,807.50","4,680.50","4,785.75","4,698.00","-","-87.75","-1.83","3,63,168","172.07","6,469.90","4,641.00","-3.98","-7.14"
"POWERGRID","321.30","325.60","313.60","321.65","315.75","-","-5.90","-1.83","1,39,73,399","444.61","366.25","222.70","0.24","35.92"
"BPCL","293.55","299.20","287.00","294.55","288.85","-","-5.70","-1.94","99,79,749","292.06","376.00","216.23","0.54","-35.70"
"TATASTEEL","142.89","144.40","140.00","143.26","140.45","-","-2.81","-1.96","4,65,03,449","661.42","184.60","127.85","0.87","7.39"
"ADANIPORTS","1,205.00","1,215.90","1,176.20","1,205.00","1,181.30","-","-23.70","-1.97","30,45,185","363.50","1,621.40","989.25","-8.31","16.05"
"RELIANCE","1,224.00","1,239.50","1,201.50","1,230.45","1,206.00","-","-24.45","-1.99","2,03,12,896","2,469.95","1,608.80","1,201.50","-2.93","-52.96"
"CIPLA","1,506.55","1,506.60","1,469.05","1,506.55","1,476.40","-","-30.15","-2.00","21,96,991","326.33","1,702.05","1,205.85","0.03","20.48"
"GRASIM","2,530.00","2,563.20","2,479.75","2,539.05","2,487.80","-","-51.25","-2.02","7,34,974","184.09","2,877.75","2,016.55","-0.78","19.33"
"WIPRO","315.50","320.00","304.40","312.75","305.85","-","-6.90","-2.21","2,22,14,824","685.51","320.00","208.50","-45.69","-29.68"
"TCS","4,329.00","4,382.00","4,152.50","4,271.90","4,177.05","-","-94.85","-2.22","41,16,989","1,745.52","4,592.25","3,591.50","3.24","10.11"
"SBIN","834.90","836.00","810.00","832.80","814.00","-","-18.80","-2.26","1,02,44,198","839.19","912.00","600.65","1.12","26.14"
"SHRIRAMFIN","2,953.25","2,960.70","2,843.65","2,945.45","2,878.60","-","-66.85","-2.27","24,99,820","722.19","3,652.25","1,972.00","1.86","42.66"
"COALINDIA","393.00","393.70","380.50","391.95","383.00","-","-8.95","-2.28","79,23,854","306.16","543.55","346.10","-7.34","7.45"
"LT","3,716.35","3,725.00","3,607.10","3,716.35","3,629.00","-","-87.35","-2.35","27,96,593","1,022.11","3,963.50","3,175.05","3.54","6.01"
"TATAMOTORS","744.30","749.55","721.50","744.05","724.30","-","-19.75","-2.65","1,79,62,656","1,316.43","1,179.00","696.25","-7.55","2.14"
"BEL","298.00","302.10","289.35","298.50","290.35","-","-8.15","-2.73","1,49,64,677","442.51","340.50","164.05","4.25","70.44"
"ADANIENT","2,429.00","2,453.85","2,333.00","2,419.35","2,349.20","-","-70.15","-2.90","13,37,016","321.39","3,743.90","2,025.00","-16.89","-16.24"
"TRENT","7,125.00","7,188.00","6,789.40","7,092.00","6,880.00","-","-212.00","-2.99","7,68,861","535.34","8,345.00","2,879.50","6.35","131.17"
"M&M","3,014.65","3,025.00","2,886.35","3,014.65","2,916.95","-","-97.70","-3.24","80,46,336","2,350.98","3,222.10","1,575.00","-1.44","77.88"
"INDUSINDBK","960.00","966.85","926.45","964.40","930.90","-","-33.50","-3.47","44,66,131","420.20","1,694.50","926.45","-7.07","-40.80"
"AXISBANK","1,103.95","1,105.85","1,065.00","1,108.90","1,070.00","-","-38.90","-3.51","1,26,23,056","1,365.79","1,339.65","995.70","-5.48","-2.15"
"TECHM","1,770.00","1,770.85","1,680.10","1,754.35","1,685.85","-","-68.50","-3.90","29,21,154","498.08","1,807.70","1,162.95","-0.80","34.87"
